Participant,Paragraph,Gazes,AOIGazes,OffScreenGazesPix,OffScreenGazesProp,avg_response_to_tut,avg_correctness_score,avg_question_rt,avg_text_rt,cluster_num_clusters,cluster_avg_duration,cluster_sd_duration,cluster_skew_duration,dispersion
5e29c3e725dcfd01cef9f474,35,850,70,387,523,0.5714285714285714,0.9,9.82563999999761,12.948085,70,0.0229328571435409,0.0111509240737765,1.8635460200140952,0.4674239814960227
5e29c3e725dcfd01cef9f474,36,890,27,681,776,0.5714285714285714,0.9,9.82563999999761,12.948085,33,0.0399606060611346,0.0126816535613714,0.291732204994499,0.3283441456072334
5e29c3e725dcfd01cef9f474,37,1112,72,776,948,0.5714285714285714,0.9,9.82563999999761,12.948085,88,0.0257647727276179,0.0131774104846019,1.5296306944089832,0.3433268735316956
5e29c3e725dcfd01cef9f474,38,1289,29,1064,1138,0.5714285714285714,0.9,9.82563999999761,12.948085,76,0.0346855263152372,0.0162707812039893,0.2299840017510058,0.4734469844496036
5e29c3e725dcfd01cef9f474,39,215,0,195,205,0.5714285714285714,0.9,9.82563999999761,12.948085,13,0.028976923075534,0.025679082074845,1.7567863549140046,0.4585892750531081
5e3581ed0082f15283413024,1,840,221,139,171,0.0,0.6,15.099159999990434,10.6412125,5,0.0516799999713949,0.0225574156132477,-0.6452146200263573,0.6030695197210466
5e3581ed0082f15283413024,2,786,330,106,124,0.0,0.6,15.099159999990434,10.6412125,4,0.0431000000297898,0.0270972323059437,-0.0054307345331994,0.526135290019508
5e3581ed0082f15283413024,3,559,226,90,100,0.0,0.6,15.099159999990434,10.6412125,3,0.0228999999761628,0.0127644036308037,0.2460378808099486,0.7252438751480599
5e3581ed0082f15283413024,4,1222,522,216,268,0.0,0.6,15.099159999990434,10.6412125,2,0.0223499999880772,0.0156270598473613,,0.9999999999999992
5e3581ed0082f15283413024,6,567,186,151,159,0.0,0.6,15.099159999990434,10.6412125,3,0.0241333333730563,0.0133515292619157,0.0786186393089296,0.7589904676197373
