Participant,Question,Correct,Paragraph,Question_RT,Gazes,AOIGazes,OffScreenGazesPix,OffScreenGazesProp,cluster_num_clusters,cluster_avg_duration,cluster_sd_duration,cluster_skew_duration,dispersion
60e1d5f866e681d7e33fd01c,10,1,13,-0.5523669515782587,0.9170996519445703,0.13892799201083714,0.504767657597894,0.7289486796057243,-0.29951432532300387,-0.05950859771824675,-0.07631242905362051,-0.4119534858586625,-0.3098104804861246
60ed8f50e13ce18a6d406a09,3,0,13,-0.6512276318359042,0.4814362833275366,0.9589761816650529,-0.38203647943312474,-0.4091999280622971,-0.5270154338811672,-0.07471561899829025,-0.04769820369884629,-0.4566242146109547,1.2892982584691755
60ed8f50e13ce18a6d406a09,10,1,13,-0.3698318964773314,0.4814362833275366,0.9589761816650529,-0.38203647943312474,-0.4091999280622971,-0.5270154338811672,-0.07471561899829025,-0.04769820369884629,-0.4566242146109547,1.2892982584691755
60fc2ec58ad0da367daee3c1,3,1,13,-0.6450127060013296,-0.08308526473960584,0.5930263380734322,-0.406222046806698,-0.4310874012866821,-0.5113257022564662,-0.06834873744520108,-0.06844995959858918,0.563760187801559,0.9062702726976085
60fc2ec58ad0da367daee3c1,10,1,13,-0.5966353932078193,-0.08308526473960584,0.5930263380734322,-0.406222046806698,-0.4310874012866821,-0.5113257022564662,-0.06834873744520108,-0.06844995959858918,0.563760187801559,0.9062702726976085
60fcc5f1ad050c77f804057b,3,0,13,-0.3721960460536089,0.8603406919486892,1.463826695816997,0.15407693068108205,0.14163481475139275,-0.5034808364441158,-0.08158329345326909,-0.06853773756458982,-1.079874927962597,0.14389245402068318
60fcc5f1ad050c77f804057b,10,1,13,-0.01999971077276892,0.8603406919486892,1.463826695816997,0.15407693068108205,0.14163481475139275,-0.5034808364441158,-0.08158329345326909,-0.06853773756458982,-1.079874927962597,0.14389245402068318
60fd592929e8016e53a167a6,3,1,13,1.1301435436895488,-0.5647694117316784,-0.23770651854696231,-0.4384694699714623,-0.4602706989191955,-0.45641164157001307,0.004901353820026603,0.02225634318927578,-1.0232115941829032,-0.4044075356296436
60fd592929e8016e53a167a6,10,1,13,-0.4140590429235825,-0.5647694117316784,-0.23770651854696231,-0.4384694699714623,-0.4602706989191955,-0.45641164157001307,0.004901353820026603,0.02225634318927578,-1.0232115941829032,-0.4044075356296436
60fde74940100db428b34a06,3,1,13,-0.7305143929267985,0.5980222552109682,0.5583011704333514,-0.16033544517537007,0.4517073520968473,-0.2367553988242002,-0.07729350916821458,-0.08925120687645349,0.13445429995062555,-0.04337100268420038
60fde74940100db428b34a06,10,1,13,-0.4570370099116086,0.5980222552109682,0.5583011704333514,-0.16033544517537007,0.4517073520968473,-0.2367553988242002,-0.07729350916821458,-0.08925120687645349,0.13445429995062555,-0.04337100268420038
60fe3f623a905f955c654cb5,3,1,13,0.11158740606243214,0.4124051157649784,0.7559675093076575,-0.1321189499062013,-0.21221266904283184,-0.4642565073823635,-0.07188201998451918,-0.09235607113118621,-0.26224435289475634,-0.7583139632665201
60fe3f623a905f955c654cb5,10,1,13,-0.5378929881611273,0.4124051157649784,0.7559675093076575,-0.1321189499062013,-0.21221266904283184,-0.4642565073823635,-0.07188201998451918,-0.09235607113118621,-0.26224435289475634,-0.7583139632665201
60fe7748a8ef9311de5f2fcd,3,1,13,-0.8085313269945922,-0.431309154444066,-0.5742735279815916,0.4039944602080055,0.22918470764893287,-0.5191705680688168,-0.08077520054563338,-0.0787209934512405,0.12410690571509891,1.4467472957191245
60fe7748a8ef9311de5f2fcd,10,1,13,-0.574697324531538,-0.431309154444066,-0.5742735279815916,0.4039944602080055,0.22918470764893287,-0.5191705680688168,-0.08077520054563338,-0.0787209934512405,0.12410690571509891,1.4467472957191245
60fefd6de6b470fd133b7d5d,3,1,13,-0.8051347977804805,-0.32546136418147675,-0.694476031351102,-0.5029643163009909,-0.6134830114898907,-0.0014094244536864231,-0.07970215658174118,-0.07949916516232952,0.9442687469135194,-0.8403862259865229
60fefd6de6b470fd133b7d5d,10,1,13,-0.22111760042807582,-0.32546136418147675,-0.694476031351102,-0.5029643163009909,-0.6134830114898907,-0.0014094244536864231,-0.07970215658174118,-0.07949916516232952,0.9442687469135194,-0.8403862259865229
610058f21b82dddf45b44009,3,0,13,-0.8869302415519071,-0.3990946095815388,0.18968016010018598,-0.5069952441965865,-0.5660601528370565,-0.45641164157001307,-0.05225794979137645,-0.043907576498828885,-1.1803868830201218,-0.18236237738585342
610058f21b82dddf45b44009,10,1,13,-0.6666204131804189,-0.3990946095815388,0.18968016010018598,-0.5069952441965865,-0.5660601528370565,-0.45641164157001307,-0.05225794979137645,-0.043907576498828885,-1.1803868830201218,-0.18236237738585342
610325a6052741bbfb84bcd1,3,0,13,-0.7164224100067618,-0.1459803285188255,-0.8574172025853274,1.7382315936501294,1.531489364499842,0.08488409948216863,-0.08868819627319441,-0.134811370533263,0.0824283765177871,-0.8990871396332649
610325a6052741bbfb84bcd1,10,1,13,-0.6242205788211553,-0.1459803285188255,-0.8574172025853274,1.7382315936501294,1.531489364499842,0.08488409948216863,-0.08868819627319441,-0.134811370533263,0.0824283765177871,-0.8990871396332649
61041a3b4159985f5294a436,3,0,13,-0.05577166741673407,-0.9145273273819732,-0.6303680295540298,-0.4142839025978891,-0.48945399655170885,-0.5270154338811672,-0.015898232067121428,-0.0725231894835341,-0.991499847938758,0.23203050330086927
