Participant,Paragraph,PP_Gazes,PP_AOI_Gazes,PP_OffscreenPix,PP_OffscreenProp,PP_2_Gazes,PP_2_AOI_Gazes,PP_2_OffscreenPix,PP_2_OffscreenProp,PP_3_Gazes,PP_3_AOI_Gazes,PP_3_OffscreenPix,PP_3_OffscreenProp,PP_cluster_num_clusters,PP_cluster_avg_duration,PP_cluster_sd_duration,PP_cluster_skew_duration,PP_dispersion,PP_2_cluster_num_clusters,PP_2_cluster_avg_duration,PP_2_cluster_sd_duration,PP_2_cluster_skew_duration,PP_2_dispersion,PP_3_cluster_num_clusters,PP_3_cluster_avg_duration,PP_3_cluster_sd_duration,PP_3_cluster_skew_duration,PP_3_dispersion,wordCount_with_stopwords,syllableCount_with_stopwords,ease_of_reading,wordCount_without_stopwords,syllableCount_without_stopwords,sentiment,PP_CD,PP_NN,PP_JJ,PP_VBN,PP_VBP,PP_NNS,PP_VBD,PP_VBG,PP_DT,PP_IN,PP_JJS,PP_MD,PP_VB,PP_RB,PP_VBZ,PP_RBS,PP_JJR,PP_WRB,PP_RBR,PP_2_CD,PP_2_NN,PP_2_JJ,PP_2_VBN,PP_2_VBP,PP_2_NNS,PP_2_VBD,PP_2_VBG,PP_2_DT,PP_2_IN,PP_2_JJS,PP_2_MD,PP_2_VB,PP_2_RB,PP_2_VBZ,PP_2_RBS,PP_2_JJR,PP_2_WRB,PP_2_RBR,PP_3_CD,PP_3_NN,PP_3_JJ,PP_3_VBN,PP_3_VBP,PP_3_NNS,PP_3_VBD,PP_3_VBG,PP_3_DT,PP_3_IN,PP_3_JJS,PP_3_MD,PP_3_VB,PP_3_RB,PP_3_VBZ,PP_3_RBS,PP_3_JJR,PP_3_WRB,PP_3_RBR,TUT
5e1efdb3a8c111230db526ff,31,263,74,34,43,215,27,19,19,300.0,142.0,40.0,72.0,27,0.1197999999985465,0.0439411669590324,-0.1158985095677876,0.2819532506895028,24,0.1197375000011288,0.0309203438381549,0.6245636814832385,0.3656745713820923,22.0,0.118336363634586,0.0519799461815235,-0.6138774738980575,0.4309601705255368,45,75,47.79,26,55,1,0,12,3,0,0,2,5,3,0,0,0,0,0,1,0,0,0,0,0,0,4,13,0,9,10,0,2,0,0,0,0,0,3,0,0,0,1,0,0.0,23.0,6.0,3.0,1.0,1.0,5.0,3.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5e2721b01160079464059b5c,31,250,66,46,52,266,168,22,22,279.0,153.0,13.0,13.0,11,0.0457545454469565,0.0084776604771712,-0.3525506411628524,0.6114382214193929,16,0.0517000000067222,0.0183606100106466,0.768832904646218,0.352864568978793,18.0,0.0494999999980261,0.0128964199359255,2.3830056085868025,0.4739203554448357,45,75,47.79,26,55,1,0,12,3,0,0,2,5,3,0,0,0,0,0,1,0,0,0,0,0,0,4,13,0,9,10,0,2,0,0,0,0,0,3,0,0,0,1,0,0.0,23.0,6.0,3.0,1.0,1.0,5.0,3.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5e27727328b7b698b037ee6c,31,201,20,2,2,552,30,2,6,577.0,40.0,0.0,0.0,3,0.0620666666646919,0.0234423406096429,-1.730774415505629,0.6920763811026936,48,0.0638374999970182,0.0228840242062542,1.7324540355818925,0.3302689580989653,53.0,0.0574245283023363,0.0129447480526366,-1.4109428310916878,0.385400388130695,45,75,47.79,26,55,1,0,12,3,0,0,2,5,3,0,0,0,0,0,1,0,0,0,0,0,0,4,13,0,9,10,0,2,0,0,0,0,0,3,0,0,0,1,0,0.0,23.0,6.0,3.0,1.0,1.0,5.0,3.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5e29c3e725dcfd01cef9f474,31,850,103,399,531,1674,206,1165,1309,1314.0,36.0,1060.0,1210.0,32,0.0358718749975844,0.0110270995971379,0.0731487450481914,0.2924500999827523,157,0.0218757961783476,0.0111481135661868,2.393016326166201,0.4723692198192754,53.0,0.0328641509456351,0.0147105808917466,0.331418911489456,0.4647509234766094,45,75,47.79,26,55,1,0,12,3,0,0,2,5,3,0,0,0,0,0,1,0,0,0,0,0,0,4,13,0,9,10,0,2,0,0,0,0,0,3,0,0,0,1,0,0.0,23.0,6.0,3.0,1.0,1.0,5.0,3.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
5e3581ed0082f15283413024,31,413,113,107,125,709,269,164,192,739.0,216.0,251.0,257.0,2,0.0317999999522839,0.0012727921724549,,1.0,4,0.0321500000238683,0.028504677992797,0.5024924751559237,0.6380866120712883,5.0,0.0358399999856714,0.0212037261219915,1.1828031994366697,0.7546182667155927,45,75,47.79,26,55,1,0,12,3,0,0,2,5,3,0,0,0,0,0,1,0,0,0,0,0,0,4,13,0,9,10,0,2,0,0,0,0,0,3,0,0,0,1,0,0.0,23.0,6.0,3.0,1.0,1.0,5.0,3.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5e3b8f110d41ad3a7bc35019,31,700,79,371,385,568,77,377,385,931.0,201.0,503.0,531.0,73,0.0495493151560026,0.0064295135805246,0.1672037927361149,0.342605254317453,65,0.0523507692506067,0.0124549453820668,4.04150149777799,0.4164027508115371,110.0,0.0502009090900185,0.0101288442181619,-0.9613037178027464,0.431156128448305,45,75,47.79,26,55,1,0,12,3,0,0,2,5,3,0,0,0,0,0,1,0,0,0,0,0,0,4,13,0,9,10,0,2,0,0,0,0,0,3,0,0,0,1,0,0.0,23.0,6.0,3.0,1.0,1.0,5.0,3.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5e4a1730c94447480594cea4,31,462,115,115,115,621,213,113,113,669.0,248.0,135.0,135.0,19,0.0596157894735423,0.0232542293228994,-0.1208816347309754,0.4533762665255287,29,0.0612896551721055,0.0196038688743805,1.98643418782738,0.4021418351164562,34.0,0.0559588235304426,0.022185883004038,0.3289137489957253,0.5000181598186079,45,75,47.79,26,55,1,0,12,3,0,0,2,5,3,0,0,0,0,0,1,0,0,0,0,0,0,4,13,0,9,10,0,2,0,0,0,0,0,3,0,0,0,1,0,0.0,23.0,6.0,3.0,1.0,1.0,5.0,3.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
5e606b1eaf84e83c728748d7,31,364,123,54,74,1948,959,204,293,737.0,522.0,49.0,82.0,52,0.047507692280161,0.0141167658124643,2.113346837159766,0.4275637159073294,310,0.0474312903293519,0.0114456173774908,4.901373051224839,0.3147945341840769,107.0,0.0463504672879329,0.0136080884501131,3.190695454106588,0.3749432321590713,45,75,47.79,26,55,1,0,12,3,0,0,2,5,3,0,0,0,0,0,1,0,0,0,0,0,0,4,13,0,9,10,0,2,0,0,0,0,0,3,0,0,0,1,0,0.0,23.0,6.0,3.0,1.0,1.0,5.0,3.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
5e6685e1ffed4c405a4db5d0,31,1056,482,0,12,1608,474,124,204,1802.0,712.0,151.0,279.0,117,0.0279299145317476,0.0112146168866245,0.4443428248129328,0.3800702949967369,195,0.0280051282045201,0.0109556262615361,1.019977449192224,0.2989912370242862,216.0,0.030739814812662,0.0123264996417138,0.7618045849913847,0.3424532102789456,45,75,47.79,26,55,1,0,12,3,0,0,2,5,3,0,0,0,0,0,1,0,0,0,0,0,0,4,13,0,9,10,0,2,0,0,0,0,0,3,0,0,0,1,0,0.0,23.0,6.0,3.0,1.0,1.0,5.0,3.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5e89ce643ac81466c24cb5d8,31,537,265,14,23,867,457,114,188,737.0,498.0,84.0,125.0,81,0.0366617283738757,0.0022700533015346,-4.1298699060905815,0.4438136542174221,139,0.0364676259075124,0.0033671950229976,-9.300950781257033,0.3603662116536444,122.0,0.0368147540799889,0.0027328631292623,-6.399933168037235,0.3879257179252918,45,75,47.79,26,55,1,0,12,3,0,0,2,5,3,0,0,0,0,0,1,0,0,0,0,0,0,4,13,0,9,10,0,2,0,0,0,0,0,3,0,0,0,1,0,0.0,23.0,6.0,3.0,1.0,1.0,5.0,3.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
