Participant,Paragraph,Gazes,AOIGazes,OffScreenGazesPix,OffScreenGazesProp,cluster_num_clusters,cluster_avg_duration,cluster_sd_duration,cluster_skew_duration,dispersion
593890eac6aa16000101f037,40,514,237,52,130,8,0.0419250000007167,0.0184650828774125,-2.131368357342257,0.4104081774914336
596e1af7a09655000197d4bb,1,416,45,156,212,51,0.0504549019598473,0.0099261334654096,1.1327222525080765,0.508165433245317
596e1af7a09655000197d4bb,2,527,16,241,298,84,0.0490107142869893,0.0123480647494735,1.5491667230022312,0.3855904200913863
596e1af7a09655000197d4bb,3,455,27,227,264,71,0.0499352112681064,0.0125307176670304,-1.1030782912250736,0.5155348731773861
596e1af7a09655000197d4bb,4,567,126,196,237,113,0.0506796460173809,0.0132295405321007,3.395912087693364,0.4777339221437421
596e1af7a09655000197d4bb,5,157,0,57,67,25,0.0470039999990484,0.0136504419935488,-0.7687007753062562,0.4141080734558255
596e1af7a09655000197d4bb,6,228,18,62,93,44,0.0476863636407068,0.0075392181132666,-0.6295505704451608,0.5027371808599382
596e1af7a09655000197d4bb,7,260,25,57,102,45,0.0508777777764554,0.0155381332812807,1.0698622978726204,0.5369372483642265
596e1af7a09655000197d4bb,8,49,6,12,19,10,0.046770000004783,0.0205648594607171,-0.9776411077257076,0.6598727322323847
596e1af7a09655000197d4bb,9,273,66,73,120,51,0.0482725490270949,0.0150091982260241,0.5860667132544595,0.6151993975447367
596e1af7a09655000197d4bb,10,114,0,64,68,12,0.0648499999870828,0.026071039322661,2.6928855825726625,0.3679481476750875
596e1af7a09655000197d4bb,11,234,22,47,81,34,0.0543352941183488,0.0135583113809738,2.295447346922849,0.5056581100326984
596e1af7a09655000197d4bb,12,208,0,107,132,33,0.0498090909040351,0.0163404093388498,-1.2792092526463856,0.4850275830783751
596e1af7a09655000197d4bb,13,388,85,143,182,64,0.0517484375052135,0.0116730593641626,2.523903438488348,0.5293084042474042
596e1af7a09655000197d4bb,14,252,21,75,103,44,0.0475863636385297,0.0146574307015269,0.9591836961566133,0.5928170138873107
596e1af7a09655000197d4bb,15,267,23,74,106,48,0.0535750000032308,0.0176396856704058,1.9972995936101403,0.4574756966254822
596e1af7a09655000197d4bb,16,88,0,17,48,16,0.0482187500044716,0.0065624404847347,1.2354539958345323,0.4149769312629544
596e1af7a09655000197d4bb,17,60,0,13,24,14,0.0399928571360421,0.0182795162489285,-1.6729479915560606,0.4431238226713347
596e1af7a09655000197d4bb,18,105,0,30,51,29,0.0500517241416255,0.0073438322361649,0.9913958007712768,0.4391016558758773
596e1af7a09655000197d4bb,19,114,5,29,51,24,0.0476625000034746,0.0118479428613742,-2.8502462801705217,0.5022572544346926
596e1af7a09655000197d4bb,20,420,44,227,266,84,0.0530130952372435,0.0175689538588504,2.160958775102675,0.4579461054098262
596e1af7a09655000197d4bb,21,274,38,21,60,51,0.0488705882362278,0.0128696121820985,4.751355004080168,0.5045504543442086
