Participant,Probe,TUT,Disengage,Awareness,FMT
607dc33d82a84f39fad3a86b,1,1,3,1,4
607dc33d82a84f39fad3a86b,2,0,1,7,7
607dc33d82a84f39fad3a86b,3,1,1,4,4
607dc33d82a84f39fad3a86b,4,1,1,1,7
607dc33d82a84f39fad3a86b,5,0,1,1,1
607dc33d82a84f39fad3a86b,6,0,7,1,1
607dc33d82a84f39fad3a86b,7,1,7,1,7
60ad06d89fffbb9b853454be,1,0,1,2,4
60ad06d89fffbb9b853454be,2,1,3,5,7
60ad06d89fffbb9b853454be,3,1,5,5,5
60ad06d89fffbb9b853454be,4,0,1,3,1
60ad06d89fffbb9b853454be,5,0,1,1,1
60ad06d89fffbb9b853454be,6,1,2,4,6
60ad06d89fffbb9b853454be,7,0,1,7,1
60b7c559803665ec56ca8b2c,1,0,6,7,7
60b7c559803665ec56ca8b2c,2,0,7,7,7
60b7c559803665ec56ca8b2c,3,0,7,7,7
60b7c559803665ec56ca8b2c,4,0,7,7,7
60b7c559803665ec56ca8b2c,5,0,7,7,7
60b7c559803665ec56ca8b2c,6,0,7,7,7
60b7c559803665ec56ca8b2c,7,0,7,7,7
60c2fa3c3cdfb91887edd7ce,1,1,3,6,6
60c2fa3c3cdfb91887edd7ce,2,1,2,5,5
60c2fa3c3cdfb91887edd7ce,3,0,3,5,4
60c2fa3c3cdfb91887edd7ce,4,0,4,5,4
60c2fa3c3cdfb91887edd7ce,5,0,4,6,4
60c2fa3c3cdfb91887edd7ce,6,1,3,5,4
60c2fa3c3cdfb91887edd7ce,7,1,3,4,4
60d3c657c0c29336f3a3c52d,1,1,1,6,2
60d3c657c0c29336f3a3c52d,2,0,1,7,1
60d3c657c0c29336f3a3c52d,3,1,1,3,1
60d3c657c0c29336f3a3c52d,4,1,1,7,1
60d3c657c0c29336f3a3c52d,5,0,1,5,1
60d3c657c0c29336f3a3c52d,6,0,1,7,1
60d3c657c0c29336f3a3c52d,7,1,1,4,1
60dfa0f80964725cfdab1685,1,0,1,7,7
60dfa0f80964725cfdab1685,2,0,1,7,7
60dfa0f80964725cfdab1685,3,0,1,7,7
60dfa0f80964725cfdab1685,4,0,1,7,7
60dfa0f80964725cfdab1685,5,1,1,7,7
60dfa0f80964725cfdab1685,6,0,1,7,7
60dfa0f80964725cfdab1685,7,0,1,7,7
60dfdb8bbef17b6739d12215,1,1,3,7,3
