Participant,Paragraph,cluster_num_clusters,cluster_avg_duration,cluster_sd_duration,cluster_skew_duration,dispersion
559e6830fdf99b4f0b98514a,37,104,0.037776923081500505,0.01830803437287588,2.741284578650085,0.430211190388263
559e6830fdf99b4f0b98514a,38,144,0.03872499999702453,0.018329385242598792,1.5993815054126332,0.38165403730924974
559e6830fdf99b4f0b98514a,39,28,0.03373928573809371,0.01317672862916935,2.6245067848652037,0.47216618799573307
559e6830fdf99b4f0b98514a,40,86,0.033701162786293024,0.012881564515963716,2.9402787010835576,0.42399513518186893
55a47692fdf99b126e625257,1,23,0.1314782608695662,0.05205667328212253,2.2640346800410636,0.2011257448682574
55a47692fdf99b126e625257,2,40,0.13862499999999772,0.08058971350660704,3.074505459601389,0.20659160071461452
55a47692fdf99b126e625257,3,36,0.19911111111110383,0.14035135050045228,2.266998215976886,0.31341395134880545
55a47692fdf99b126e625257,4,57,0.11412280701754487,0.058321482863590735,4.2495953865362015,0.24425402223065565
55a47692fdf99b126e625257,5,11,0.09681818181817806,0.05042780618232929,0.11738874920658975,0.5206235508563755
55a47692fdf99b126e625257,6,17,0.10764705882352199,0.041349034415064066,-0.5144421057458108,0.5517519388037526
55a47692fdf99b126e625257,7,28,0.1324285714285713,0.056317505055370615,0.5465274138227182,0.21042264963324825
55a47692fdf99b126e625257,8,7,0.11314285714286289,0.021675089937758334,0.7551624521751896,0.34320541837325685
55a47692fdf99b126e625257,9,37,0.12075675675675446,0.0566977392285946,1.3020571850049694,0.2222572130072623
55a47692fdf99b126e625257,10,12,0.10774999999998221,0.054860359923248635,0.18881374541823054,0.36836123858311154
55a47692fdf99b126e625257,11,20,0.1350999999999918,0.06880552303412803,1.16333099613853,0.3033440086657301
55a47692fdf99b126e625257,12,26,0.12069230769230534,0.04735463587085934,0.37675703852303305,0.20453641172840556
55a47692fdf99b126e625257,13,49,0.12548979591837245,0.05917598134975891,1.7652757244988817,0.27862410032013984
