Participant,Paragraph,Gazes,AOIGazes,OffScreenGazesPix,OffScreenGazesProp
5bd7971b0aac450001f951aa,39,237,17,94,117
5bd7971b0aac450001f951aa,40,417,24,161,205
5c6477fe4f0ea90001782441,1,476,114,53,86
5c6477fe4f0ea90001782441,2,674,465,15,29
5c6477fe4f0ea90001782441,3,690,374,6,15
5c6477fe4f0ea90001782441,4,843,523,40,73
5c6477fe4f0ea90001782441,5,206,16,7,7
5c6477fe4f0ea90001782441,6,499,161,24,46
5c6477fe4f0ea90001782441,7,503,211,12,25
5c6477fe4f0ea90001782441,8,165,29,20,20
5c6477fe4f0ea90001782441,9,798,348,26,38
5c6477fe4f0ea90001782441,10,329,102,4,29
5c6477fe4f0ea90001782441,11,385,89,40,92
5c6477fe4f0ea90001782441,12,354,127,14,23
5c6477fe4f0ea90001782441,13,857,506,32,70
5c6477fe4f0ea90001782441,14,432,105,16,46
5c6477fe4f0ea90001782441,15,299,112,17,23
5c6477fe4f0ea90001782441,16,202,51,0,3
5c6477fe4f0ea90001782441,17,170,26,20,26
5c6477fe4f0ea90001782441,18,214,64,2,4
5c6477fe4f0ea90001782441,19,174,34,23,38
5c6477fe4f0ea90001782441,20,737,418,36,77
5c6477fe4f0ea90001782441,21,567,192,47,85
5c6477fe4f0ea90001782441,22,481,178,55,83
5c6477fe4f0ea90001782441,23,168,38,2,6
5c6477fe4f0ea90001782441,24,663,276,64,114
5c6477fe4f0ea90001782441,25,456,211,12,16
5c6477fe4f0ea90001782441,26,675,449,0,14
5c6477fe4f0ea90001782441,27,362,68,16,41
5c6477fe4f0ea90001782441,28,403,222,5,11
5c6477fe4f0ea90001782441,29,787,483,16,44
5c6477fe4f0ea90001782441,30,688,447,16,34
5c6477fe4f0ea90001782441,31,527,178,18,56
5c6477fe4f0ea90001782441,32,495,195,23,46
5c6477fe4f0ea90001782441,33,255,87,2,16
5c6477fe4f0ea90001782441,34,606,346,6,24
5c6477fe4f0ea90001782441,35,647,394,2,13
5c6477fe4f0ea90001782441,36,345,188,9,21
5c6477fe4f0ea90001782441,37,1052,621,31,73
5c6477fe4f0ea90001782441,38,714,534,26,34
5c6477fe4f0ea90001782441,39,282,93,4,23
5c6477fe4f0ea90001782441,40,560,228,38,72
5cb568ebf0e31e0017d9bf32,1,572,77,98,112
5cb568ebf0e31e0017d9bf32,2,802,386,128,148
5cb568ebf0e31e0017d9bf32,3,508,280,79,91
5cb568ebf0e31e0017d9bf32,4,999,625,149,187
5cb568ebf0e31e0017d9bf32,5,234,31,21,21
5cb568ebf0e31e0017d9bf32,6,495,150,93,103
5cb568ebf0e31e0017d9bf32,7,385,90,60,69
5cb568ebf0e31e0017d9bf32,8,136,11,0,0
5cb568ebf0e31e0017d9bf32,9,517,213,58,85
5cb568ebf0e31e0017d9bf32,10,200,60,29,39
5cb568ebf0e31e0017d9bf32,11,433,50,113,124
5cb568ebf0e31e0017d9bf32,12,345,26,44,48
5cb568ebf0e31e0017d9bf32,13,865,192,122,137
5cb568ebf0e31e0017d9bf32,14,316,89,52,64
5cb568ebf0e31e0017d9bf32,15,225,85,25,29
5cb568ebf0e31e0017d9bf32,16,117,8,0,0
5cb568ebf0e31e0017d9bf32,17,114,23,0,0
5cb568ebf0e31e0017d9bf32,18,176,49,12,24
5cb568ebf0e31e0017d9bf32,19,167,55,15,17
5cb568ebf0e31e0017d9bf32,20,617,216,88,109
5cb568ebf0e31e0017d9bf32,21,536,74,94,120
5cb568ebf0e31e0017d9bf32,22,325,31,34,46
5cb568ebf0e31e0017d9bf32,23,43,4,0,0
5cb568ebf0e31e0017d9bf32,24,355,111,61,67
5cb568ebf0e31e0017d9bf32,25,410,109,39,55
5cb568ebf0e31e0017d9bf32,26,592,257,72,84
5cb568ebf0e31e0017d9bf32,27,533,160,25,61
5cb568ebf0e31e0017d9bf32,28,442,253,26,39
5cb568ebf0e31e0017d9bf32,29,557,374,28,36
5cb568ebf0e31e0017d9bf32,30,646,414,47,85
5cb568ebf0e31e0017d9bf32,31,400,211,31,37
5cb568ebf0e31e0017d9bf32,32,383,242,20,35
5cb568ebf0e31e0017d9bf32,33,181,55,18,32
5cb568ebf0e31e0017d9bf32,34,429,233,28,40
5cb568ebf0e31e0017d9bf32,35,269,102,17,29
5cb568ebf0e31e0017d9bf32,36,289,152,36,41
5cb568ebf0e31e0017d9bf32,37,413,227,40,52
5cb568ebf0e31e0017d9bf32,38,493,375,57,72
5cb568ebf0e31e0017d9bf32,39,156,51,6,8
5cb568ebf0e31e0017d9bf32,40,315,71,36,50
5d4459c166881d001c4d5451,1,623,71,33,186
5d4459c166881d001c4d5451,2,1265,443,118,446
5d4459c166881d001c4d5451,3,916,165,190,418
5d4459c166881d001c4d5451,4,1667,691,388,765
5d4459c166881d001c4d5451,5,225,46,0,22
5d4459c166881d001c4d5451,6,773,189,162,282
5d4459c166881d001c4d5451,7,855,208,136,316
5d4459c166881d001c4d5451,8,142,0,32,46
5d4459c166881d001c4d5451,9,853,229,95,270
5d4459c166881d001c4d5451,10,272,3,27,67
5d4459c166881d001c4d5451,11,396,65,89,193
5d4459c166881d001c4d5451,12,614,66,188,337
5d4459c166881d001c4d5451,13,1034,579,149,385
5d4459c166881d001c4d5451,14,582,204,92,209
5d4459c166881d001c4d5451,15,458,81,76,179
5d4459c166881d001c4d5451,16,118,27,0,35
5d4459c166881d001c4d5451,17,110,7,3,31
5d4459c166881d001c4d5451,18,444,36,107,211
5d4459c166881d001c4d5451,19,421,22,115,174
5d4459c166881d001c4d5451,20,838,487,109,257
5d4459c166881d001c4d5451,21,861,291,116,314
5d4459c166881d001c4d5451,22,618,304,100,200
5d4459c166881d001c4d5451,23,104,8,26,53
5d4459c166881d001c4d5451,24,755,334,138,372
5d4459c166881d001c4d5451,25,613,288,150,225
5d4459c166881d001c4d5451,26,1061,626,137,315
5d4459c166881d001c4d5451,27,335,91,53,126
5d4459c166881d001c4d5451,28,790,351,137,256
5d4459c166881d001c4d5451,29,719,367,178,289
5d4459c166881d001c4d5451,30,925,523,180,326
5d4459c166881d001c4d5451,31,871,417,238,331
5d4459c166881d001c4d5451,32,867,277,275,417
5d4459c166881d001c4d5451,33,606,29,175,313
5d4459c166881d001c4d5451,34,822,306,231,390
5d4459c166881d001c4d5451,35,857,313,217,390
5d4459c166881d001c4d5451,36,898,470,198,349
5d4459c166881d001c4d5451,37,1209,461,489,728
5d4459c166881d001c4d5451,38,2407,1151,781,1234
5d4459c166881d001c4d5451,39,249,45,113,162
5d4459c166881d001c4d5451,40,1033,375,374,540
5d5497857aff650001a18c3c,1,820,212,324,380
5d5497857aff650001a18c3c,2,953,405,135,213
5d5497857aff650001a18c3c,3,734,286,184,236
5d5497857aff650001a18c3c,4,1261,541,270,396
5d5497857aff650001a18c3c,5,189,0,112,132
5d5497857aff650001a18c3c,6,728,174,256,338
5d5497857aff650001a18c3c,7,669,214,74,140
5d5497857aff650001a18c3c,8,137,38,9,15
5d5497857aff650001a18c3c,9,948,294,396,442
5d5497857aff650001a18c3c,10,271,36,112,146
5d5497857aff650001a18c3c,11,635,74,285,367
5d5497857aff650001a18c3c,12,610,72,315,407
5d5497857aff650001a18c3c,13,1124,432,332,432
5d5497857aff650001a18c3c,14,473,76,242,283
5d5497857aff650001a18c3c,15,393,40,199,249
5d5497857aff650001a18c3c,16,149,6,73,85
5d5497857aff650001a18c3c,17,134,22,37,51
5d5497857aff650001a18c3c,18,311,100,41,87
5d5497857aff650001a18c3c,19,322,78,66,102
5d5497857aff650001a18c3c,20,976,365,293,361
5d5497857aff650001a18c3c,21,818,269,61,105
5d5497857aff650001a18c3c,22,643,218,46,80
5d5497857aff650001a18c3c,23,91,16,0,0
5d5497857aff650001a18c3c,24,929,353,66,90
5d5497857aff650001a18c3c,25,448,172,90,130
5d5497857aff650001a18c3c,26,732,333,70,102
5d5497857aff650001a18c3c,27,428,112,54,76
5d5497857aff650001a18c3c,28,675,154,195,247
5d5497857aff650001a18c3c,29,855,423,112,164
5d5497857aff650001a18c3c,30,961,452,62,112
5d5497857aff650001a18c3c,31,856,220,174,232
5d5497857aff650001a18c3c,32,733,172,98,152
5d5497857aff650001a18c3c,33,435,46,53,65
5d5497857aff650001a18c3c,34,543,160,47,69
5d5497857aff650001a18c3c,35,503,108,32,70
5d5497857aff650001a18c3c,36,861,196,88,130
5d5497857aff650001a18c3c,37,900,334,324,390
5d5497857aff650001a18c3c,38,1155,364,537,645
5d5497857aff650001a18c3c,39,252,104,3,17
5d5497857aff650001a18c3c,40,816,320,228,292
5d79375d794d900017671c07,1,705,286,35,119
5d79375d794d900017671c07,2,1628,799,92,314
5d79375d794d900017671c07,3,615,236,46,148
5d79375d794d900017671c07,4,1961,725,576,727
5d79375d794d900017671c07,5,222,36,42,63
