Participant,GazesMean,TextRTMean
5a8b1ee2000dab00018cc7cd,350.5,14.684375
5aa83a71f6dfdd0001eb1690,848.825,7.5450825
5acb7b0ae1099600016acdd6,208.35,10.78548
5aed0f1c7ed5460001575004,449.75,7.4725875
5b666901f7798c000182c01c,215.35,6.99044
5b6dbd2384a7760001c9c7fd,664.275,12.305075
5b9b422307c6960001614c35,820.8,13.6520725
5ba06f03962418000113684d,319.05,8.3901275
5ba3b4b2509a380001bee71d,237.6,6.817275
5bbc0004ac45e6000131d380,177.7,9.913525
5be8a1701664db0001d804f8,589.325,11.068835
5c0dbb9b9166290001253342,569.85,16.2055625
5c2c6e432c45d400014a35e3,567.2,17.473815
5c2fcd716ea6880001dc8e3d,460.25,10.76043
5c670a430d80fd00014264f9,165.025,5.60805
5c8974ef34daa70015e92daf,714.775,6.6295075
5c9b1b5c441b4700179b17b2,322.675,10.7797175
5c9c3ae2d40ce20014233de6,1780.15,12.37868
5cab7cc86d3a6e001519d9e9,666.75,13.8685875
5cb489ff0cd1ed0017465d19,543.425,15.1556825
5cd8d86210887400182db201,343.675,14.1874325
5cf91ace3bb7c4000162318c,618.275,8.820905
5cfe91a931c8d200018fd824,1218.0,11.5081225
5d127351768ee30019d6231f,1101.575,19.0163975
5d193535601cd70017727028,197.85,11.083135
5d1e2045a37a4d001a1fc2cb,259.325,17.8462375
5d27d44acdaf690001297992,704.775,12.252475
5d27dc6b46dea800184f8bfa,322.35,17.087
5d41e832b0ca7200169d857e,222.75,12.39859
5d42486206811e001ada5b4b,822.625,17.7205925
5d453e8723a5bb0001492546,579.05,17.5026825
5d4a476144cb2200195e96ad,702.525,15.4436175
5d5181fc842e8600171e5a78,626.35,10.4091075
5d55d562e04e1c0001f5e682,383.15,11.4724
5d615f7632cfbd001b1b6dcb,382.325,12.692625
5d63f9cd26a2ac001758c70d,138.625,20.646325
5d730a3cf37bfe0001ff031a,389.175,13.3368075
5d7e7207461e51001c5c236c,338.6,7.3011925
5d8934dc4c680f00181616f8,467.55,13.7866625
5d8b32e664ac880018630273,449.975,10.9995125
5d96eeed1998fb00177f6b71,182.65,10.4694875
5dbd796ee8add82bd3ef7878,402.075,10.0157
5dd72efa82569a6d38e06854,465.65,12.03836
5de7ccc24b7cf973d7b05bfb,1536.3,10.4354025
5de831cad4995d000c5fb540,730.6,23.0517
5dec01e809c107301c5e307f,1064.725,18.08409
5dedec3919398a49e1133b0d,538.65,8.9435475
5dfdc45e617219a8e2e05c26,738.725,12.28076
5e065c9fe78021031a4b1d59,598.075,9.937595
5e14d563c4e155ae93907ae1,239.775,6.7819375
5e154952c76aa6b40619b1d3,1078.975,10.369525
5e1e935be3c7191e0519b486,313.325,8.507975
5e1efdb3a8c111230db526ff,242.325,14.42548
5e2721b01160079464059b5c,304.5,8.6579075
5e27727328b7b698b037ee6c,386.45,8.184335
5e29c3e725dcfd01cef9f474,772.825,12.948085
5e3581ed0082f15283413024,470.875,10.6412125
5e3b8f110d41ad3a7bc35019,536.325,15.8482975
5e4a1730c94447480594cea4,448.4,15.630645
5e606b1eaf84e83c728748d7,635.225,21.022055
5e6685e1ffed4c405a4db5d0,1223.325,8.494525
5e89ce643ac81466c24cb5d8,518.925,12.4251525
5e8a1827052175000938eb91,300.6,9.237105
5e8b89d0afcb1606e761ef7f,1720.275,14.427295
5ea24e2ba40d0c16e0c2b6e9,436.35,14.4727125
5eb6df62c23fbf5e87db6b4b,292.325,7.3755625
5ec403bb09d0e02a060bd5e6,233.575,4.058615
5ec4815fa0c12817c4f8e846,523.725,8.6933425
5ecd4acdb218ec085c6eefe6,408.75,10.44069
5ed543442db0060a955d12e1,710.525,19.920015
5ed5eb6e89c9b81780219ab6,538.975,4.5332525
5eeaa8ee94a7f8046a02a20d,1440.05,13.7210775
5ef3832ddd7d5a0f19b24f20,304.025,7.00401
5f0395a63963d05bc235abdb,447.15,9.6288375
5f15ba922eed6a21fe83e78a,698.55,11.636125
5f16f559325a640008bb9a07,304.5,7.2653525
5f20c7843957f61f62c58bb6,576.05,9.561285
5f32bc368853aa03df112fc6,195.25,11.7682425
5f3a99865242340d71f85620,564.725,8.168125
5f3ac1732efa0a74f975b1a8,802.2,20.132345
5f3d42de03555c0832cbef73,613.625,10.2040075
5f3d6975ef131710ed519c7a,754.275,12.5401425
5f55b2de5c3cb118507479f5,180.075,3.248225
5f8cbc5c355ea745e6cef2ca,651.525,11.0428375
5f9b6cc0e01ad13902b38f60,327.1,10.6019475
5fa3146a9b17545c04ce5b06,345.825,9.95615
5fa4c21a04bc5912180291bc,607.675,14.13129
5fb0a3d6a8e4224b973e750b,305.025,9.0552225
5fb3d71c3144730009fe4a7b,628.375,15.87659
5fb47b35d6da7d1a6ae54f08,1097.825,12.8454275
5fc3d41149c0c8728f07b95b,562.925,12.8378575
5fc423afc5dad58229f0c1c0,1692.925,15.0370825
5fc98fe1b105424d4b03381b,190.6,6.595325
5fe112243ce806b5704eca6e,399.925,10.781845
5feb65120b1a44738e27ae4f,103.15,1.68778
