Participant,Number,RT,Correct
5c6477fe4f0ea90001782441,8,3.9909999999999854,0
5c6477fe4f0ea90001782441,9,10.393500000000017,1
5c6477fe4f0ea90001782441,10,6.215400000005957,1
5cb568ebf0e31e0017d9bf32,1,5.145100000023831,0
5cb568ebf0e31e0017d9bf32,2,15.560999999999922,0
5cb568ebf0e31e0017d9bf32,3,6.614199999987932,0
5cb568ebf0e31e0017d9bf32,4,8.400000000000091,1
5cb568ebf0e31e0017d9bf32,5,11.356900000035694,1
5cb568ebf0e31e0017d9bf32,6,20.70910000002391,0
5cb568ebf0e31e0017d9bf32,7,25.677999999999884,1
5cb568ebf0e31e0017d9bf32,8,5.643300000011777,1
5cb568ebf0e31e0017d9bf32,9,13.320900000035863,0
5cb568ebf0e31e0017d9bf32,10,9.388100000023769,1
5d4459c166881d001c4d5451,1,3.038499999999999,1
5d4459c166881d001c4d5451,2,5.706699999988018,0
5d4459c166881d001c4d5451,3,8.086700000017913,1
5d4459c166881d001c4d5451,4,4.795800000011923,1
5d4459c166881d001c4d5451,5,5.363400000005981,1
5d4459c166881d001c4d5451,6,8.532599999993977,1
5d4459c166881d001c4d5451,7,21.05929999998216,0
5d4459c166881d001c4d5451,8,4.020399999976121,1
5d4459c166881d001c4d5451,9,8.355400000005943,1
5d4459c166881d001c4d5451,10,4.132900000005975,1
5d5497857aff650001a18c3c,1,6.028200000000197,1
5d5497857aff650001a18c3c,2,3.145200000000159,1
5d5497857aff650001a18c3c,3,5.221799999999803,0
5d5497857aff650001a18c3c,4,6.3279999999999745,1
5d5497857aff650001a18c3c,5,15.59379999999976,1
5d5497857aff650001a18c3c,6,10.509899999999448,0
5d5497857aff650001a18c3c,7,20.28449999999998,0
5d5497857aff650001a18c3c,8,4.012099999999464,1
5d5497857aff650001a18c3c,9,10.711799999999812,1
5d5497857aff650001a18c3c,10,8.171100000000479,1
5d79375d794d900017671c07,1,4.330300000011903,1
5d79375d794d900017671c07,2,6.4206,0
5d79375d794d900017671c07,3,4.273200000017937,0
5d79375d794d900017671c07,4,5.503799999982107,1
5d79375d794d900017671c07,5,8.2799,1
5d79375d794d900017671c07,6,14.737899999976207,1
5d79375d794d900017671c07,7,13.00579999998206,1
5d79375d794d900017671c07,8,6.062900000006039,1
5d79375d794d900017671c07,9,8.246299999982057,1
5d79375d794d900017671c07,10,5.902900000005957,1
5dcc27974b54778b69e62ec5,1,3.0627000000029057,1
5dcc27974b54778b69e62ec5,2,3.9700000000000273,1
